Détails,Prix,Localisation,Image URL
Autruche,750 000CFA,"location_onAlmadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885138_uploaded_image1_1723173640.jpg
Œufs de caille,3 000CFA,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_4880858_uploaded_image1_1722971406.jpg
Œufs de caille,3 000CFA,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_4880849_uploaded_image1_1722971092.jpg
vache,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4878570_uploaded_image1_1722874635.jpg
Boeuf,550CFA,"location_onMatam, Sénégal",https://images.coinafrique.com/thumb_4869182_uploaded_image1_1722422052.jpg
Vache,350 000CFA,"location_onGassane, Sénégal",https://images.coinafrique.com/thumb_4864739_uploaded_image1_1722168896.jpg
Chaton hiamalayen,200 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4864117_uploaded_image1_1722115248.jpg
Siamois,200 000CFA,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4855435_uploaded_image1_1721662817.jpg
Bœufs race Goudali,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4853741_uploaded_image1_1721569594.jpg
Vache montbéliardes,2 000 000CFA,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_4851931_uploaded_image2_1721447498.jpeg
Perruche ondulée,15 000CFA,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4846061_uploaded_image1_1721147785.jpg
Perruche ondulée,30 000CFA,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4846053_uploaded_image1_1721147434.jpg
Perruches ondulées blanches,20 000CFA,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4846024_uploaded_image1_1721146605.jpg
Persan pure race,500 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4818301_uploaded_image1_1719774491.jpg
Chatons Persan pure race,450 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4808981_uploaded_image1_1719268557.jpg
Scottish fold et scottish straight de race pure,700 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4808971_uploaded_image1_1719267956.jpg
Foin,4 600CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4807500_uploaded_image1_1719210823.jpg
Paon,140 000CFA,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4804686_uploaded_image1_1718999173.jpg
Chat scotish,750 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4803206_uploaded_image1_1718912151.jpg
Poussin dinde rouge,15 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4794677_uploaded_image1_1718313441.jpg
Cochin Fauve,17 500CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4794473_uploaded_image1_1718301841.jpg
Poussin Cochin disponible,17 500CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4794466_uploaded_image1_1718301585.jpg
Chat persan,400 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4785131_uploaded_image1_1717786702.jpg
Chaton Angora,350 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4765270_uploaded_image1_1716842569.jpg
Vache laitière Montbéliarde,Prix sur demande,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4765247_uploaded_image1_1716841792.jpg
Chaton Scottish,450 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4755374_uploaded_image1_1716328455.jpg
Vaches Montbéliarde,Prix sur demande,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_4753936_uploaded_image1_1716257870.jpg
Vache Montbéliard et Holstein,Prix sur demande,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4753935_uploaded_image1_1716257776.jpg
Vache  Montbéliard Holstein,Prix sur demande,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_4753933_uploaded_image1_1716257630.jpg
Boeuf,800 000CFA,"location_onKaolack, Sénégal",https://images.coinafrique.com/thumb_4752043_uploaded_image1_1716145974.jpg
3 chatons,Prix sur demande,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4751663_uploaded_image1_1716126912.jpg
Paon bleu,250 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4686441_uploaded_image1_1712838619.jpg
Perroquet inséparable,60 000CFA,"location_onPoint E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4724298_uploaded_image1_1714756962.jpg
Chat Siamois,300 000CFA,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4723220_uploaded_image1_1714727016.jpg
Hamster,5 000CFA,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4723216_uploaded_image1_1714726904.jpg
Cailles,Prix sur demande,"location_onTouba, Sénégal",https://images.coinafrique.com/thumb_4701407_uploaded_image1_1713575328.jpg
Perruche,20 000CFA,"location_onMamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4701230_uploaded_image1_1713565518.jpg
Chaton,Prix sur demande,"location_onNgor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4689687_uploaded_image1_1713000926.jpg
Bœufs,Prix sur demande,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4679890_uploaded_image1_1712437211.jpg
Paire de perruches ondulées,40 000CFA,"location_onMamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4679396_uploaded_image1_1712411459.jpg
Vache brune,Prix sur demande,"location_onMbour, Sénégal",https://images.coinafrique.com/thumb_4664799_uploaded_image1_1711657831.jpg
Chatons,Prix sur demande,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651939_uploaded_image1_1710967508.jpg
Couple perroquet  Roseicollis,60 000CFA,"location_onPoint E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651651_uploaded_image1_1710951067.jpg
Canard Colvert,25 000CFA,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4650420_uploaded_image1_1710887873.jpg
Chatons,Prix sur demande,"location_onPoint E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4646165_uploaded_image1_1710686670.jpg
Chaton Himalayen,270 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4642742_uploaded_image1_1710476161.jpg
Cage avec 3  oiseaux,60 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4640165_uploaded_image1_1710330525.jpg
Chaton Hymalayen Persan,270 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4639205_uploaded_image1_1710275204.jpg
Chat Brittish Shorthair,700 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4629619_uploaded_image1_1709768692.jpg
Chat Persan Chinchilla,400 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623023_uploaded_image1_1709471973.jpg
Poussins de canards,3 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4619825_uploaded_image1_1709296934.jpg
Chaton,Prix sur demande,"location_onNgor, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608863_uploaded_image1_1708712110.jpg
Chaton Siamois Hymalayen,240 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4593854_uploaded_image1_1707927839.jpg
Chaton Persan,400 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4592914_uploaded_image1_1707885493.jpg
Chaton Scottish Fold,750 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4571582_uploaded_image1_1706729320.jpg
Perroquet youyou,10 000CFA,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4570755_uploaded_image2_1706701706.jpeg
Chaton Persan,400 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4569529_uploaded_image1_1706630955.jpg
Boeuf,600 000CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4568012_uploaded_image1_1706543950.jpg
Cochons d'inde,20 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4555313_uploaded_image1_1705776199.jpg
Chaton Scotish Fold,750 000CFA,"location_onFann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4540889_uploaded_image1_1705029103.jpg
Chaton Persan,400 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4540876_uploaded_image1_1705028116.jpg
Bœuf,Prix sur demande,"location_onDiamalaye 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4534540_uploaded_image1_1704746080.jpg
Poissons aquarium,7 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4534116_uploaded_image2_1704727054.jpeg
Chatons Serval,1 500 000CFA,"location_onSaint Louis, Sénégal",https://images.coinafrique.com/thumb_4517799_uploaded_image1_1703777941.jpg
Couple dinde,40 000CFA,"location_onKolda, Sénégal",https://images.coinafrique.com/thumb_4506000_uploaded_image1_1702997150.jpg
Vaches,1 500 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4504586_uploaded_image1_1702911785.jpg
Cochons,20 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4503064_uploaded_image1_1702806770.jpg
Cochons,20 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4503058_uploaded_image1_1702806558.jpg
Pintade,75 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4465594_uploaded_image1_1700505532.jpg
Brittish Shorthair,800 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4462219_uploaded_image1_1700244596.jpg
Perruche Anglaise,40 000CFA,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4456172_uploaded_image1_1699885668.jpg
Perruches ondulées,15 000CFA,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4456156_uploaded_image1_1699884359.jpg
Cailles,1 500CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4454743_uploaded_image1_1699793813.jpg
Perruche ondulée,7 000CFA,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_4452994_uploaded_image1_1699659802.jpg
Paon,250 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4451044_uploaded_image1_1699554808.jpg
Canards,Prix sur demande,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_4442030_uploaded_image1_1699015617.jpg
Paon,65 000CFA,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4435457_uploaded_image1_1698661056.jpg
Pintade,7 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4412768_uploaded_image1_1697036744.jpg
Perroquet,50 000CFA,"location_onPoint E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4411374_uploaded_image1_1696959883.jpg
Oies de Toulouse,Prix sur demande,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_4409000_uploaded_image1_1696840958.jpg
Dindes,30 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4408804_uploaded_image1_1696809535.jpg
Pintades,40 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4408799_uploaded_image1_1696809191.jpg
Veaux,450 000CFA,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_4407653_uploaded_image1_1696730126.jpg
Chèvre,80 000CFA,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_4387674_uploaded_image1_1695430824.jpg
Chat Persan,650 000CFA,"location_onPoint E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4386249_uploaded_image1_1695340690.jpg
Dinde rouge pair,35 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4381112_uploaded_image1_1695035479.jpg
Bœuf,450 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4379382_uploaded_image1_1694875556.jpg
Chaton,Prix sur demande,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4365267_uploaded_image1_1694000653.jpg
Taureau,320 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4335558_uploaded_image1_1692061499.jpg
Chaton Gimalayen Siamois,250 000CFA,"location_onFann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4333502_uploaded_image1_1691932427.jpg
Perruches ondulées,20 000CFA,"location_onPoint E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331659_uploaded_image1_1691773285.jpg
Perroquets,60 000CFA,"location_onPoint E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4331654_uploaded_image1_1691772808.jpg
Chatons  British shorthair,650 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4328377_uploaded_image1_1691583410.jpg
Cailles de chair,500CFA,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4327166_uploaded_image1_1691508551.jpg
Chat Scottish fold,700 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4326378_uploaded_image1_1691464417.jpg
Bœuf,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4303523_uploaded_image1_1689962222.jpg
Vache,600 000CFA,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4303521_uploaded_image1_1689962163.jpg
Poussins d'autruche,50 000CFA,"location_onBambey, Sénégal",https://images.coinafrique.com/thumb_4292496_uploaded_image1_1689236421.jpg
Chat tigré,60 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4290090_uploaded_image1_1689085062.jpg
Chat tigré,60 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4290086_uploaded_image1_1689084975.jpg
Vache,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4284952_uploaded_image1_1688734268.jpg
Canard,30 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4251761_uploaded_image1_1686479149.jpg
Paon,290 000CFA,"location_onMermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4277277_uploaded_image1_1688258720.jpg
Autruche,40 000CFA,"location_onBambey, Sénégal",https://images.coinafrique.com/thumb_4274068_uploaded_image1_1688027259.jpg
Chatons persans chinchilla golden shaded,500 000CFA,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268926_uploaded_image1_1687601650.jpg
Chat persan chinchilla blue golden shaded,650 000CFA,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268866_uploaded_image1_1687597344.jpg
Chat persan chinchilla golden shaded,500 000CFA,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268857_uploaded_image1_1687596952.jpg
Perruches ondulées,20 000CFA,"location_onDieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4268218_uploaded_image1_1687536623.jpg
Oies,45 000CFA,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_4263743_uploaded_image1_1687283716.jpg
Poissons aquariums,7 500CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4258053_uploaded_image1_1686843939.jpg
Chaton,Prix sur demande,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_4254477_uploaded_image1_1686653757.jpg
Paon,Prix sur demande,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4250701_uploaded_image1_1686389684.jpg
Perruche,30 000CFA,"location_onPoint E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4236158_uploaded_image1_1685471000.jpg
Paon,400CFA,"location_onTouba, Sénégal",https://images.coinafrique.com/thumb_4226444_uploaded_image1_1684797786.jpg
Poussins bleus hollandais,1 500CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4223952_uploaded_image1_1684611180.jpg
Chaton Siamois Himalayen,275 000CFA,"location_onFann, Dakar, Sénégal",https://images.coinafrique.com/thumb_4215680_uploaded_image1_1684074328.jpg
Poissons aquarium,15 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4213007_uploaded_image1_1683888858.jpg
Cailles,7 000CFA,"location_onTouba, Sénégal",https://images.coinafrique.com/thumb_4208226_uploaded_image1_1683592423.jpg
Boeuf,600 000CFA,"location_onBambey, Sénégal",https://images.coinafrique.com/thumb_4196106_uploaded_image1_1682881461.jpg
Perruches,30 000CFA,"location_onHann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194617_uploaded_image1_1682759209.jpg
Perroquet,35 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4185842_uploaded_image1_1682102205.jpg
Couple de perruches,14 900CFA,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_4180902_uploaded_image1_1681767382.jpg
Chaton siamois,240 000CFA,"location_onSacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4180282_uploaded_image1_1681738114.jpg
Bœuf,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4179472_uploaded_image1_1681680500.jpg
Dinde,45 000CFA,"location_onTouba, Sénégal",https://images.coinafrique.com/thumb_4170236_uploaded_image1_1681079402.jpg
Boeuf,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_5179428_uploaded_image1_1739207935.jpg
