Détails,Prix,Localisation,Image URL
Poule Brahma,45 000CFA,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_5044135_uploaded_image1_1731603018.jpg
Couple mantau écailles de 2 mois,15 000CFA,"location_onMbour, Sénégal",https://images.coinafrique.com/thumb_5043101_uploaded_image1_1731565347.jpg
lapins mâle adulte,15 000CFA,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_5000540_uploaded_image1_1729260478.jpg
Rex garenne,Prix sur demande,"location_onAlmadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4998472_uploaded_image1_1729159431.jpg
Pigeon pan indien,10 000CFA,"location_onPatte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_4996843_uploaded_image1_1729085675.jpg
Poule Brahma,Prix sur demande,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4993341_uploaded_image1_1728920307.jpg
Couple lapins,15 000CFA,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_4981240_uploaded_image1_1728309289.jpg
Lapins,15 000CFA,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4975768_uploaded_image1_1727986043.jpg
Coq,3 000CFA,"location_onHann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4975038_uploaded_image1_1727964716.jpg
Lapin,15 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4966470_uploaded_image1_1727557573.jpg
Lapin,50 000CFA,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4954195_uploaded_image1_1726867840.jpg
Pigeon voyageur,Prix sur demande,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946879_uploaded_image1_1726499763.jpg
Pigeon voyageur,15 000CFA,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4946878_uploaded_image1_1726499637.jpg
Poulets Fermiers,10 000CFA,"location_onHann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_4942161_uploaded_image1_1726204258.jpg
Pigeon voyageur,25 000CFA,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4936241_uploaded_image1_1725920934.jpg
Poule Brahma,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4936101_uploaded_image1_1725915391.jpg
couples lapins,15 000CFA,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_4932369_uploaded_image1_1725702422.jpg
Métisse Brahma,50 000CFA,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4921301_uploaded_image1_1725195914.jpg
Pigeons Voyageurs  et boulants,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4920745_uploaded_image1_1725167512.jpg
pigeon voyageur,Prix sur demande,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4917441_uploaded_image1_1724967120.jpg
Pigeon Boulant Gaditano,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4884507_uploaded_image1_1723139531.jpg
Poules Bleu Hollande,5 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4877982_uploaded_image1_1722858918.jpg
Lapereaux Gdf,60 000CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4868318_uploaded_image1_1722369912.jpg
Lapin nain,30 000CFA,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4865409_uploaded_image1_1722221284.jpg
Cochin Caillouté Et Porteur Caillouté,Prix sur demande,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_4862961_uploaded_image1_1722048205.jpg
Pigeon mondain noir,170 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4862270_uploaded_image1_1722006320.jpg
Pan indien blanc,35 000CFA,"location_onMermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4860862_uploaded_image1_1721930737.jpg
Pigeons  Texan,20 000CFA,"location_onMermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4860848_uploaded_image1_1721930260.jpg
Couple pigeon mondain blanc,70 000CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4853197_uploaded_image1_1721514569.jpg
Paires engoura,Prix sur demande,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4841263_uploaded_image1_1720874099.jpg
Jeune Mondain 2024,150 000CFA,"location_onThiaroye, Sénégal",https://images.coinafrique.com/thumb_4840128_uploaded_image1_1720797760.jpg
Œufs fertiles et poussins de goliath,15 000CFA,"location_onFass, Dakar, Sénégal",https://images.coinafrique.com/thumb_4836511_uploaded_image1_1720629763.jpg
Lapereaux métisse Géant et Californien,15 000CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4829597_uploaded_image1_1720290196.jpg
Poussin Herminé standard,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4824502_uploaded_image1_1720037338.jpg
Mâle brahman Hierminés,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4824501_uploaded_image1_1720037293.jpg
Cochin porteur caillouté paire,120 000CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4818681_uploaded_image1_1719796046.jpg
Hermines et cochins,500CFA,"location_onMermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4817873_uploaded_image1_1719747122.jpg
Pigeons voyageur,7 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4816363_uploaded_image1_1719645676.jpg
Poulet frisées,15 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4816360_uploaded_image1_1719645541.jpg
Jeune mâle hermine,60 000CFA,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4810642_uploaded_image1_1719347241.jpg
Poulet du pays,3 500CFA,"location_onSaint Louis, Sénégal",https://images.coinafrique.com/thumb_4807968_uploaded_image1_1719229010.jpg
Poule Brahma,95 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4807398_uploaded_image1_1719187421.jpg
Jeune couple Mondain,Prix sur demande,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4800310_uploaded_image1_1718745887.jpg
Texan pionnier,Prix sur demande,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4800306_uploaded_image1_1718745517.jpg
Poulet race,Prix sur demande,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4787594_uploaded_image1_1717954434.jpg
Poulets,2 500CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4767951_uploaded_image1_1716976720.jpg
Couple lapereau fauve de bourgogne,40 000CFA,"location_onLac rose, Sénégal",https://images.coinafrique.com/thumb_4751808_uploaded_image1_1716133783.jpg
Poulets de chair,1 500CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4696598_uploaded_image1_1713352074.jpg
Poulet,Prix sur demande,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_4738369_uploaded_image1_1715444473.jpg
Pigeons voyageurs,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4729764_uploaded_image1_1715037972.jpg
Volaille,Prix sur demande,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4724548_uploaded_image1_1714767368.jpg
Poulet Nègre de soie,35 000CFA,"location_onAlmadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4723223_uploaded_image1_1714727157.jpg
Lapin Angora,20 000CFA,"location_onMamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_4714367_uploaded_image1_1714245668.jpg
Pigeons King mâle,35 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4704120_uploaded_image1_1713750109.jpg
Lapereaux,13 500CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4703012_uploaded_image1_1713680804.jpg
Pigeon Mâle voyageur,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4690859_uploaded_image1_1713063647.jpg
Couple Pigeons voyageur,15 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4690857_uploaded_image1_1713063525.jpg
Pigeon Mondain écailler,170 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4685152_uploaded_image1_1712756876.jpg
Poulets de chair,Prix sur demande,"location_onMbour, Sénégal",https://images.coinafrique.com/thumb_4667518_uploaded_image1_1711842967.jpg
Femelle andalou,250 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4667144_uploaded_image1_1711815313.jpg
Pigeon voyageur à manteau,Prix sur demande,"location_onCambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4664901_uploaded_image1_1711663618.jpg
Pigeon Mondain Andalou,300CFA,"location_onCambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4664895_uploaded_image1_1711663431.jpg
Pigeon voyageur,10 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4662603_uploaded_image1_1711547811.jpg
Pigeons,50 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4662585_uploaded_image1_1711547077.jpg
Pigeon Texan,80 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4653331_uploaded_image1_1711039616.jpg
Pigeons Mondain,200 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4653298_uploaded_image1_1711039158.jpg
Œufs à couver,12 500CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651892_uploaded_image1_1710962341.jpg
Couple  Brahma Herminé standard,80 000CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4650066_uploaded_image1_1710871182.jpg
Brahma,25 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4644724_uploaded_image1_1710589505.jpg
Pigeon Boulant,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4624925_uploaded_image1_1709567352.jpg
Pigeon King,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4624920_uploaded_image1_1709567189.jpg
Pigeon voyageur,15 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4624891_uploaded_image1_1709566248.jpg
Pigeons,Prix sur demande,"location_onAlmadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623025_uploaded_image1_1709471989.jpg
Pigeon voyageur Manteau Opale,Prix sur demande,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4621197_uploaded_image1_1709366454.jpg
Poussin oie,35 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4619799_uploaded_image1_1709296095.jpg
Poulets de chairs,3 500CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4612683_uploaded_image1_1708957200.jpg
Brahman bleu Lemon,40 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4612273_uploaded_image1_1708946489.jpg
Pigeons,Prix sur demande,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4612083_uploaded_image1_1708939903.jpg
Lapins,Prix sur demande,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4612074_uploaded_image3_1708939673.jpeg
Poussin Marans,10 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4603800_uploaded_image1_1708477906.jpg
Pigeons couple Mondain,170 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4598304_uploaded_image1_1708179510.jpg
Couples lapereaux,100 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4587998_uploaded_image1_1707587252.jpg
Pigeon Lahor,20 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4565457_uploaded_image1_1706369680.jpg
Pigeon Modain,160 000CFA,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4561395_uploaded_image1_1706128448.jpg
Lapereau,10 000CFA,"location_onLac rose, Sénégal",https://images.coinafrique.com/thumb_4556321_uploaded_image1_1705859521.jpg
Poulet de chaire,5 000CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4555523_uploaded_image1_1705793143.jpg
Pigeons King,60 000CFA,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4548383_uploaded_image1_1705424797.jpg
Paire pigeon  jeune King,60 000CFA,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4545200_uploaded_image1_1705269534.jpg
Pigeons,5 000CFA,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4542217_uploaded_image1_1705082041.jpg
Pigeons,5 000CFA,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4542193_uploaded_image1_1705080975.jpg
Lapin,35 000CFA,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4517612_uploaded_image1_1703770805.jpg
Pigeon,Prix sur demande,"location_onOuakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4513662_uploaded_image2_1703531881.jpeg
Lapin,Prix sur demande,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4513225_uploaded_image1_1703497424.jpg
Lapin fauve male,80 000CFA,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512680_uploaded_image1_1703431761.jpg
Couple lapin,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4509856_uploaded_image1_1703213564.jpg
Poulet de chair,3 500CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4509252_uploaded_image1_1703175319.jpg
Couple lapereau,40 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4505997_uploaded_image1_1702997024.jpg
Couple lapin français,40 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4505989_uploaded_image1_1702996795.jpg
Lapin,Prix sur demande,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4490937_uploaded_image1_1702037014.jpg
Couple de pigeons,20 000CFA,"location_onSaly, Sénégal",https://images.coinafrique.com/thumb_4483308_uploaded_image1_1701626351.jpg
Lapin Angora male,8 000CFA,"location_onDiamniadio, Sénégal",https://images.coinafrique.com/thumb_4473413_uploaded_image1_1701020741.jpg
Lapin Angora male,18 000CFA,"location_onDiamniadio, Sénégal",https://images.coinafrique.com/thumb_4473399_uploaded_image1_1701019994.jpg
Pigeon King Blanc,75 000CFA,"location_onMbour, Sénégal",https://images.coinafrique.com/thumb_4471585_uploaded_image1_1700864393.jpg
Pigeon Lahor,40 000CFA,"location_onMbour, Sénégal",https://images.coinafrique.com/thumb_4471579_uploaded_image1_1700864120.jpg
Femelle lapin demi sang + cage,40 000CFA,"location_onGuediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4464349_uploaded_image1_1700417993.jpg
Lapin,Prix sur demande,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4453957_uploaded_image1_1699727543.jpg
Poule Soie,75 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4453909_uploaded_image1_1699725929.jpg
Coqs,Prix sur demande,"location_onOuakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4444985_uploaded_image1_1699208691.jpg
Lapin,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4435893_uploaded_image1_1698681315.jpg
Lapins,Prix sur demande,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4434579_uploaded_image1_1698581736.jpg
Lapereau,10 000CFA,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4433087_uploaded_image1_1698427048.jpg
Lapereau,10 000CFA,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4425850_uploaded_image1_1697991508.jpg
Cochons d'Inde,15 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4425812_uploaded_image1_1697988348.jpg
Pigeons voyageur de compétition,15 000CFA,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4418928_uploaded_image1_1697461664.jpg
Pigeons,3 000CFA,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4418917_uploaded_image1_1697461219.jpg
Pigeon voyageur,5 000CFA,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4418908_uploaded_image1_1697461394.jpg
Pigeon,2 000CFA,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4418898_uploaded_image1_1697460446.jpg
Lapin,35 000CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4408360_uploaded_image1_1696785290.jpg
Pigeon voyageur,8 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4406776_uploaded_image1_1696680924.jpg
Pigeon voyageur,8 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4406771_uploaded_image1_1696680728.jpg
Cochin et Brahma,Prix sur demande,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4401630_uploaded_image1_1696382057.jpg
Poussins,26 500CFA,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_4399877_uploaded_image1_1696286458.jpg
Poule Brahma,25 000CFA,"location_onMedina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4389249_uploaded_image1_1695564020.jpg
Lapins,20 000CFA,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4384422_uploaded_image1_1695232906.jpg
Lapereau,10 000CFA,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4381621_uploaded_image1_1695057585.jpg
Pigeons Culbutant français,50 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4378163_uploaded_image1_1694787558.jpg
Poule Brahman herminé,Prix sur demande,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4369295_uploaded_image1_1694214443.jpg
Lapin,10 000CFA,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4368816_uploaded_image1_1694188598.jpg
Pigeons de race,350 000CFA,"location_onCambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4368566_uploaded_image1_1694179237.jpg
Lapin,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4359251_uploaded_image1_1693583547.jpg
Lapin   Papillon,90 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4347215_uploaded_image1_1692800912.jpg
Lapin,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4337665_uploaded_image1_1692197761.jpg
Lapin,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4337664_uploaded_image2_1692903389.jpeg
Lapins,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4336471_uploaded_image1_1692120444.jpg
Lapereaux,10 000CFA,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4333705_uploaded_image1_1691943760.jpg
Lapereaux,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4324644_uploaded_image1_1691345949.jpg
Poussins de chair,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4323837_uploaded_image1_1691274033.jpg
Lapin,40 000CFA,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4312499_uploaded_image1_1690566200.jpg
Poules,Prix sur demande,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_4302571_uploaded_image1_1689893299.jpg
Lapin,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4302356_uploaded_image1_1689878968.jpg
Lapin,15 000CFA,"location_onOuakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4298076_uploaded_image1_1689619080.jpg
Lapin,80 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4296184_uploaded_image1_1689472721.jpg
Poussins Brahmanes,30 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4290482_uploaded_image1_1689101216.jpg
Coq hermine,60 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4290479_uploaded_image1_1689101063.jpg
Lapin nain Loutre,30 000CFA,"location_onOuakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4289564_uploaded_image1_1689066044.jpg
Poulets  bleu Holland,6 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4287658_uploaded_image1_1688923156.jpg
Pigeons,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4287413_uploaded_image1_1688907084.jpg
Lapins,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4287411_uploaded_image1_1688907003.jpg
Pigeon Messager,25 000CFA,"location_onRufisque, Sénégal",https://images.coinafrique.com/thumb_4286623_uploaded_image1_1688830929.jpg
Pigeons,20 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4283652_uploaded_image1_1688651905.jpg
Poulets de chair,4 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4283570_uploaded_image1_1688648209.jpg
Pigeon Boulan,15 000CFA,"location_onLouga, Sénégal",https://images.coinafrique.com/thumb_4277905_uploaded_image1_1688318584.jpg
Poussin herminé,10 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5179009_uploaded_image1_1739192841.jpg
Pigeon Boulan,45 000CFA,"location_onLouga, Sénégal",https://images.coinafrique.com/thumb_4277890_uploaded_image1_1688316619.jpg
Lapereaux,10 000CFA,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4268955_uploaded_image1_1687603560.jpg
Lapin,30 000CFA,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4268327_uploaded_image1_1687541319.jpg
Poule Bleu Hollandais,7 000CFA,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4224766_uploaded_image3_1684691526.jpeg
Poussins cochin,7 500CFA,"location_onPikine, Sénégal",https://images.coinafrique.com/thumb_4255246_uploaded_image1_1686680990.jpg
Lapines,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4249408_uploaded_image1_1686311889.jpg
Lapin californien,Prix sur demande,"location_onSaly, Sénégal",https://images.coinafrique.com/thumb_4248635_uploaded_image1_1686257041.jpg
Lapereaux,45 000CFA,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4244917_uploaded_image1_1686063555.jpg
Poussins Brahmans,30 000CFA,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_4243414_uploaded_image1_1685971475.jpg
Pigeons Mondains,50 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4240446_uploaded_image1_1685727771.jpg
Lapine,Prix sur demande,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4235319_uploaded_image1_1685440928.jpg
Lapin Gris de Touraine,35 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4230722_uploaded_image1_1685059185.jpg
Pigeon mondain brun,500 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4230459_uploaded_image1_1685044108.jpg
Pigeon Tambour Allemand,50 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4223933_uploaded_image1_1684609709.jpg
Pigeon voyageur,7 000CFA,"location_onOuakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4222723_uploaded_image1_1684515810.jpg
Pigeon voyageur,7 000CFA,"location_onOuakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_4222721_uploaded_image1_1684515659.jpg
Poussins de chair - bleu hollandais,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4221943_uploaded_image2_1684477934.jpeg
Coq cochin,45 000CFA,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4218824_uploaded_image1_1684270289.jpg
Poulets brahman herminés,135 000CFA,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_4212808_uploaded_image1_1683879589.jpg
Couple lapins,Prix sur demande,"location_onMbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_4208070_uploaded_image1_1683583031.jpg
Lapin géant,50 000CFA,"location_onNiaga, Sénégal",https://images.coinafrique.com/thumb_4207913_uploaded_image1_1683574221.jpg
Poussins bleue Holland,35 000CFA,"location_onCambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4206875_uploaded_image1_1683511573.jpg
Cailleteaux,250CFA,"location_onThies, Sénégal",https://images.coinafrique.com/thumb_4205412_uploaded_image1_1683385484.jpg
Pigeons manteau opale,6 000CFA,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4202860_uploaded_image1_1683234964.jpg
Pigeon,20 000CFA,"location_onGueule Tapée, Dakar, Sénégal",https://images.coinafrique.com/thumb_4198961_uploaded_image1_1683046102.jpg
Lapereau,15 000CFA,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4195833_uploaded_image3_1682867699.jpeg
Lapin metisage,Prix sur demande,"location_onMariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4194884_uploaded_image1_1682776235.jpg
Pigeon Texan,70 000CFA,"location_onMbour, Sénégal",https://images.coinafrique.com/thumb_4193114_uploaded_image1_1682634328.jpg
